Player;Shot;Type;Stroke;Spin;Speed (KM/H);Point;Game;Set;Bounce Depth;Bounce Zone;Bounce Side;Bounce (x);Bounce (y);Hit Depth;Hit Zone;Hit Side;Hit (x);Hit (y);Hit (z);Direction;Result;Favorited;Start Time;Video Time
Rasmus Kopperud Riis;4;return_plus_one;Forehand;Topspin;73,099548;64;11;2;short;deuce;near;1,142021;8,800566;out;ad;far;2,273438;25,614841;1,871094;inside in;In;false;07:54:20;2356,01001
Rikard Rykkvin;5;in_play;Forehand;Slice;61,629848;64;11;2;deep;deuce;far;-1,334491;20,374657;out;deuce;near;0,33667;-0,35503;0,557617;cross court;In;false;07:54:21;2357,73999
Rasmus Kopperud Riis;6;in_play;Forehand;Topspin;51,70475;64;11;2;short;ad;far;1,452148;12,507812;deep;deuce;far;-1,629883;23,427341;1,263672;down the line;Net;false;07:54:24;2359,77002
Rikard Rykkvin;1;first_serve;Serve;Slice;107,842773;65;11;2;short;deuce;far;-4,113167;17,811672;deep;deuce;near;0,936035;0,161412;2,414062;out wide;In;false;07:54:34;2370,709961
Rasmus Kopperud Riis;2;first_return;Forehand;Flat;62,329887;65;11;2;deep;deuce;near;1,803527;5,234228;out;deuce_out;far;-5,84375;26,177341;1,230469;down the line;In;false;07:54:36;2371,879883
Rikard Rykkvin;1;first_serve;Serve;Flat;97,049301;66;11;2;short;ad;far;1,904528;15,456803;deep;ad;near;-1,107422;1,066845;2,359375;down the T;In;false;07:54:52;2387,840088
Rasmus Kopperud Riis;2;first_return;Forehand;Flat;64,3358;66;11;2;short;ad;near;-0,668944;7,818371;out;ad;far;2,845703;25,989841;1,011719;inside out;In;false;07:54:53;2388,879883
Rikard Rykkvin;3;serve_plus_one;Forehand;Flat;69,958847;66;11;2;deep;ad;far;2,128293;18,828354;out;ad;near;-1,493164;-1,026905;0,688477;inside out;In;false;07:54:54;2390,709961
Rasmus Kopperud Riis;4;return_plus_one;Forehand;Topspin;80,173279;66;11;2;deep;ad;near;-0,81237;5,302193;out;ad;far;2,382812;24,864841;0,994141;inside out;In;false;07:54:56;2392,280029
Rikard Rykkvin;5;in_play;Forehand;Flat;79,870422;66;11;2;deep;ad_out;far;5,670068;23,740641;out;ad;near;-1,15918;-0,815967;1,37207;inside in;Out;false;07:54:57;2393,679932
Rasmus Kopperud Riis;0;none;Feed;Flat;30,662121;67;11;2;short;deuce_out;near;6,40432;7,568546;short;ad;far;2,4375;12,247654;3,330078;---;Out;false;07:55:06;2402,23999
Rikard Rykkvin;1;first_serve;Serve;Flat;99,550903;67;11;2;deep;deuce;far;-2,723833;18,403894;deep;deuce;near;0,756348;0,06124;2,316406;out wide;Out;false;07:55:20;2415,939941
Rasmus Kopperud Riis;2;first_return;Forehand;Topspin;72,431984;67;11;2;deep;ad;near;-1,550781;0,4375;out;deuce;far;-3,308594;25,239841;1,109375;down the line;In;false;07:55:21;2417,139893
Rikard Rykkvin;3;serve_plus_one;Backhand;Flat;75,107437;67;11;2;deep;deuce;far;-0,797279;19,311893;out;ad;near;-1,123047;-1,48003;1,410156;down the line;In;false;07:55:23;2418,810059
Rasmus Kopperud Riis;4;return_plus_one;Forehand;Topspin;84,393845;67;11;2;deep;deuce;near;1,382834;2,850668;out;deuce;far;-0,521484;25,161716;1,091797;cross court;In;false;07:55:24;2420,379883
Rikard Rykkvin;5;in_play;Forehand;Flat;88,527763;67;11;2;deep;ad;far;1,328685;18,311913;out;deuce;near;1,838867;-1,23003;1,265625;down the line;In;false;07:55:26;2421,780029
Rasmus Kopperud Riis;6;in_play;Forehand;Flat;64,415527;67;11;2;deep;ad;near;-3,75373;4,834177;deep;ad;far;0,977051;23,864841;1,128906;inside out;In;false;07:55:27;2423,01001
Rikard Rykkvin;7;in_play;Backhand;Topspin;83,52417;67;11;2;out;deuce;far;-1,825182;23,858292;out;ad;near;-3,988281;-1,870655;1,876953;down the line;Out;false;07:55:29;2424,830078
Rasmus Kopperud Riis;8;in_play;Forehand;Slice;49,57621;67;11;2;short;ad;far;0,88916;12,382812;deep;deuce;far;-0,945312;24,271091;1,271484;down the line;Net;false;07:55:30;2426,25
Rikard Rykkvin;1;first_serve;Serve;Flat;55,417919;68;11;2;short;ad;near;-0,300293;11,359375;short;ad;near;-0,2771;0,454843;3,988281;down the T;Net;false;07:55:51;2447,649902
Rikard Rykkvin;1;first_serve;Serve;Flat;53,485531;68;11;2;short;deuce;near;1,345703;11,804688;deep;ad;near;-1,259766;0,056108;2,228516;down the T;Net;false;07:55:56;2451,75
Rikard Rykkvin;1;second_serve;Serve;Flat;77,218498;68;11;2;short;ad;far;0,716012;16,223618;deep;ad;near;-1,28418;1,355908;2,412109;down the T;In;false;07:56:02;2458,51001
Rasmus Kopperud Riis;2;second_return;Forehand;Flat;69,297852;68;11;2;deep;deuce;near;1,008793;3,715661;out;ad;far;1,282227;24,927341;1,202148;inside in;In;false;07:56:04;2459,850098
Rikard Rykkvin;3;serve_plus_one;Forehand;Topspin;60,599907;68;11;2;deep;deuce;far;-1,225394;18,344791;deep;deuce;near;1,080078;-0,10503;1,268555;cross court;In;false;07:56:05;2461,280029
Rasmus Kopperud Riis;4;return_plus_one;Forehand;Flat;83,51519;68;11;2;deep;ad;near;-3,570834;3,625496;out;deuce;far;-2,544922;26,521091;1,302734;down the line;In;false;07:56:07;2463,25
Rikard Rykkvin;5;in_play;Backhand;Topspin;61,127304;68;11;2;deep;deuce;far;-2,968555;20,637918;out;ad;near;-3,419922;-1,933155;1,259766;down the line;In;false;07:56:09;2464,830078
Rasmus Kopperud Riis;6;in_play;Forehand;Flat;75,802147;68;11;2;short;deuce;near;1,172602;6,012626;out;deuce;far;-2,419922;25,849216;1,763672;cross court;In;false;07:56:11;2466,949951
