Player;Shot;Type;Stroke;Spin;Speed (KM/H);Point;Game;Set;Bounce Depth;Bounce Zone;Bounce Side;Bounce (x);Bounce (y);Hit Depth;Hit Zone;Hit Side;Hit (x);Hit (y);Hit (z);Direction;Result;Favorited;Start Time;Video Time
Rasmus Kopperud Riis;1;first_serve;Serve;Slice;124,586288;52;8;1;short;deuce;far;-1,447095;17,342169;deep;deuce;near;0,669922;0,698494;2,240234;down the T;In;false;07:47:59;
Rikard Rykkvin;2;first_return;Forehand;Flat;54,550419;52;8;1;deep;ad;near;-1,119841;0,838784;out;deuce;far;-2,384766;24,646091;1,302734;down the line;In;false;07:47:59;
Rasmus Kopperud Riis;3;serve_plus_one;Forehand;Flat;75,31089;52;8;1;deep;deuce;far;-0,982402;22,675945;out;ad;near;-1,026367;-2,41753;1,730469;inside in;In;false;07:48:02;
Rikard Rykkvin;4;return_plus_one;Forehand;Slice;49,91674;52;8;1;short;deuce;near;2,692652;6,869496;out;deuce;far;-0,734375;25,208591;1,574219;cross court;In;false;07:48:04;
Rasmus Kopperud Riis;5;in_play;Forehand;Topspin;75,948601;52;8;1;deep;ad;far;2,834081;22,802763;deep;deuce;near;3,115234;3,652783;1,244141;down the line;In;false;07:48:06;
Rikard Rykkvin;6;in_play;Backhand;Flat;54,431038;52;8;1;deep;ad;near;-3,039639;2,219508;out;ad;far;2,484375;25,083591;0,743164;cross court;In;false;07:48:07;
Rasmus Kopperud Riis;7;in_play;Backhand;Flat;63,670002;52;8;1;deep;ad;far;1,024294;21,889137;deep;ad;near;-3,201172;0,668408;1,662109;cross court;In;false;07:48:11;
Rikard Rykkvin;8;in_play;Forehand;Topspin;77,327484;52;8;1;out;ad;near;-0,76603;-1,031513;deep;ad;far;1,157227;23,239841;0,741211;inside out;Out;false;07:48:12;
Rasmus Kopperud Riis;1;first_serve;Serve;Slice;118,393623;53;8;1;short;ad;far;2,217509;17,920561;deep;ad;near;-0,186646;1,105908;2,349609;down the T;In;false;07:48:40;
Rikard Rykkvin;2;first_return;Forehand;Topspin;46,997704;53;8;1;short;deuce_alley;near;5,484822;7,370978;out;ad;far;2,806641;24,896091;1,492188;inside in;Out;false;07:48:41;
Rikard Rykkvin;1;first_serve;Serve;Flat;102,21476;54;9;2;short;deuce;far;-3,161817;17,827484;deep;deuce;near;0,638184;-0,048617;2,320312;out wide;In;false;07:50:08;
Rasmus Kopperud Riis;2;first_return;Forehand;Flat;94,921165;54;9;2;deep;deuce;near;2,639697;0,551997;out;deuce_alley;far;-4,355469;24,833591;1,248047;down the line;In;false;07:50:09;
Rasmus Kopperud Riis;3;serve_plus_one;Forehand;Flat;45,260113;54;9;2;short;ad;far;3,865465;15,297289;deep;deuce_alley;near;4,296875;0,20747;0,94873;down the line;In;false;07:50:10;
Rasmus Kopperud Riis;4;return_plus_one;Backhand;Flat;44,056114;54;9;2;short;ad;far;0,030807;17,946188;deep;ad;far;2,865234;20,646091;0,365967;cross court;Net;false;07:50:13;
Rikard Rykkvin;1;first_serve;Serve;Flat;108,297325;55;9;2;short;ad;far;2,389661;18,279074;deep;ad;near;-0,84082;1,129345;2,310547;out wide;In;false;07:50:32;
Rasmus Kopperud Riis;2;first_return;Forehand;Topspin;69,697388;55;9;2;deep;ad;near;-2,379388;0,488771;out;ad;far;2,728516;25,224216;1,274414;inside out;In;false;07:50:33;
